Home,Away,Home_Score,Away_Score,Tournament
Bryant,Florida International,91,85,
North Carolina A&T,Gardner-Webb,64,66,
Coppin State,Marshall,67,86,
Winthrop,Mercer,68,77,
Elon,NC State,63,74,
Northeastern,Syracuse,48,76,
Army,William & Mary,67,76,
Middle Tennessee,Missouri State,51,75,
Fresno State,North Texas,52,61,
Western Michigan,Rice,88,96,
New Mexico State,New Mexico,,,
Portland State,Oregon State,79,66,
Rider,Central Arkansas,85,90,
Franklin,IUPUI,45,59,
Niagara,Stetson,66,62,
Saint Louis,Maryland,67,95,
Indiana-South Bend,Ball State,72,86,
Sacred Heart,Binghamton,75,60,
Houghton,Hartford,32,98,
Chicago State,Kent State,59,88,
Lindenwood,McNeese State,78,60,
Bowling Green State,St. Bonaventure,68,81,
St. Peter's,St. Francis (NY),58,61,
Texas A&M-Commerce,Georgia State,53,57,
Buffalo,Howard,59,63,
Western Carolina,Lamar,98,91,
Eastern Michigan,Oakland,90,92,
Evansville,SMU,47,55,
Southeast Missouri State,Bradley,60,73,
Campbell,Southeastern Louisiana,69,70,
Covenant,Chattanooga,55,108,
American,NJIT,58,53,
San Jose State,Northern Colorado,80,69,
Miami (FL),Providence,74,64,
Eastern Kentucky,UNC Asheville,77,75,
UIC,Fordham,65,79,
Belmont,George Mason,66,62,
Hawaii Pacific,Hawaii,55,79,
Utah Tech,Idaho,81,71,
FDU,Longwood,83,99,
Emerson,UMass-Lowell,53,105,
South Carolina State,North Florida,66,72,
Youngstown State,UC-San Diego,73,54,
Detroit Mercy,Florida Atlantic,55,76,
Kennesaw State,Appalachian State,71,67,
The Citadel,Butler,42,89,
Occidental,UC-Riverside,30,106,
Stonehill,Holy Cross,81,79,
St. Katherine,Long Beach State,55,84,
Princeton,Marist,62,55,
St. Thomas,Merrimack,72,61,
Stephen F. Austin,South Dakota State,93,82,
SIU-Edwardsville,VMI,93,67,
Norfolk State,Alabama A&M,89,83,
Georgia Southern,Houston Christian,84,77,
Oklahoma Baptist,Oral Roberts,86,98,
UC-Irvine,Pepperdine,55,64,
Seattle,Portland,80,68,
Hofstra,Saint Mary's,48,76,
Incarnate Word,Valparaiso,64,68,
Nicholls State,BYU,73,87,
Troy,Montana,73,62,
James Madison,UNC,64,80,
Kentucky,Gonzaga,72,88,
Houston,Oregon,66,56,
UCLA,Baylor,75,80,
Miami (OH),Indiana,56,86,
Illinois,Virginia,61,70,
Ohio,Michigan,66,70,
Texas A&M,Loyola (IL),67,51,
Delaware State,UConn,60,95,
Lindenwood,Western Carolina,88,90,
Mississippi Valley State,Missouri,62,83,
Furman,South Carolina,79,60,
Murray State,Tulsa,77,60,
Kennesaw State,Campbell,61,85,
La Salle,Georgetown,62,69,
UMass,Charlotte,60,54,
SUNY-Maritime,Columbia,44,96,
Old Dominion,Davidson,61,66,
Western Michigan,Georgia Southern,57,63,
Miami (FL),Maryland,70,88,
Central Connecticut,UMBC,76,78,
Boston University,New Hampshire,64,57,
Southeastern Louisiana,Appalachian State,74,83,
Radford,Army,90,75,
Texas A&M-Commerce,Eastern Kentucky,75,61,
Siena,Harvard,59,69,
Voorhees,Jacksonville,61,91,
Wake Forest,Loyola Marymount,75,77,
Montana State,North Dakota,81,71,
Crown (MN),North Dakota State,55,76,
Alabama State,Pitt,54,73,
Virginia Tech,College of Charleston,75,77,
UNC Asheville,Georgia State,68,74,
Lamar,McNeese State,57,66,
Arkansas-Pine Bluff,Nebraska,58,82,
Montreat,North Carolina Central,70,86,
Providence,Saint Louis,73,76,
Texas Southern,Samford,63,78,
Wagner,Seton Hall,44,82,
Prairie View,UT-Martin,79,80,
John Jay,Yale,55,112,
VMI,FDU,89,93,
SIU-Edwardsville,Longwood,61,56,
Youngstown State,Navy,67,80,
DePaul,Oklahoma State,78,82,
ETSU,Tennessee Tech,62,69,
VCU,Memphis,47,62,
Queens (NC),Morgan State,74,64,
North Carolina A&T,Wofford,64,78,
Drake,Wyoming,61,56,
Penn State,Colorado State,68,56,
Milwaukee,Iowa State,53,68,
Jackson State,Little Rock,91,94,
Colorado,Boise State,55,68,
Fredonia State,Canisius,52,98,
Santa Clara,UCF,50,57,
Green Bay,Utah Valley,56,79,
Tarleton State,Boston College,70,54,
Mount St. Mary's,Cal Poly,73,68,
Texas,Northern Arizona,73,48,
Bellarmine,Duke,57,74,
Louisville,Arkansas,54,80,
Texas Tech,Creighton,65,76,
Cincinnati,Arizona,93,101,
Ohio State,San Diego State,77,88,
Omaha,Iowa,64,100,
Mercer,Florida State,72,81,
Chicago State,Marshall,70,82,
UIC,Stonehill,77,71,
Illinois State,LSU,61,77,
Kansas City,Toledo,83,71,
Austin Peay,Albany (NY),74,59,
Bryant,Detroit Mercy,98,88,
Northern Iowa,San Francisco,69,75,
Akron,Western Kentucky,72,53,
Indiana State,East Carolina,79,75,
Saint Mary-of-the-Woods College,Eastern Illinois,40,102,
Buffalo,George Mason,82,74,
Bucknell,Presbyterian,66,65,
Howard,Belmont,73,96,
Cal State Northridge,Tennessee State,73,74,
Grand Canyon,Wichita State,43,55,
Wyoming,Boston College,48,59,
Central Michigan,High Point,67,68,
UT Arlington,Drexel,38,59,
Nevada,Tulane,75,66,
Utah,Georgia Tech,68,64,
UAB,South Florida,80,65,
Western Illinois,Texas-Rio Grande Valley,77,78,
Abilene Christian,Wright State,61,77,
Bethune-Cookman,Charleston Southern,63,78,
Loyola (MD),Clemson,41,72,
Monmouth,Colgate,66,85,
North Florida,Duquesne,82,83,
Albany State (GA),Florida A&M,65,70,
Florida Gulf Coast,Northern Kentucky,82,61,
Holy Cross,Fordham,53,67,
Rhode Island,Kansas State,57,77,
Louisiana-Monroe,Louisiana Tech,58,79,
Mount Olive,UNC Wilmington,47,94,
Syracuse,Richmond,74,71,
Lehigh,Saint Francis (PA),82,76,
Georgia,St. Joseph's,66,53,
Covenant,Lipscomb,61,86,
Marquette,Mississippi State,55,58,
Houston Christian,Rice,67,76,
Drake,Tarleton State,71,64,
USC Upstate,Air Force,56,83,
Washington State,Eastern Washington,82,56,
St. John's (NY),Temple,78,72,
California Baptist,Minnesota,61,62,
Life Pacific,UC-Irvine,54,116,
UC-Riverside,Weber State,72,65,
Hampton,UCSB,66,79,
San Diego Christian,San Diego,69,98,
Texas State,California,59,55,
Creighton,Arkansas,90,87,
Bradley,Auburn,64,85,
San Diego State,Arizona,70,87,
Texas Tech,Louisville,70,38,
Vermont,Yale,44,73,
Crowley's Ridge,Arkansas-Pine Bluff,56,70,
North Alabama,Hampton,75,74,
Elon,Jacksonville State,53,78,
Southern Illinois,UNLV,49,56,
Grambling,Arizona State,49,80,
Oral Roberts,Utah State,85,95,
Sacramento State,UC-Davis,71,82,
Austin Peay,Bucknell,65,79,
East Carolina,Toledo,86,75,
Northern Iowa,Grand Canyon,67,69,
Illinois State,Western Kentucky,66,78,
Purdue Fort Wayne,Eastern Michigan,74,67,
Sam Houston,Northern Illinois,88,54,
LSU,Akron,73,58,
Northern Kentucky,UT Arlington,56,60,
NJIT,Sacred Heart,85,75,
South Dakota,LIU,68,58,
San Francisco,Wichita State,67,63,
Southern Miss,Winthrop,77,52,
Georgia,UAB,73,87,
Holy Cross,UIC,66,89,
Ohio State,Cincinnati,81,53,
Canisius,Cornell,70,79,
Indiana State,Kansas City,61,63,
Tulane,Rhode Island,78,75,
UT-Martin,Arkansas State,64,70,
Fairleigh Dickinson-Florham,Hartford,45,82,
St. Andrews,North Carolina A&T,57,109,
Bowling Green State,Notre Dame,66,82,
South Florida,St. Joseph's,75,62,
Cal State Bakersfield,Texas A&M-Corpus Christi,73,63,
Weber State,Abilene Christian,77,67,
Florida Gulf Coast,Drexel,67,59,
Stonehill,Fordham,60,71,
UC-San Diego,George Washington,75,70,
Our Lady of the Lake,Incarnate Word,76,85,
Nevada,Kansas State,87,96,
Kentucky State,Morehead State,49,114,
St. Mary's (MD),Norfolk State,41,91,
UMBC,UNC Greensboro,72,76,
Temple,Richmond,49,61,
Rider,Rutgers,46,76,
William Woods,Southeast Missouri State,49,87,
Southern Indiana,St. Bonaventure,66,80,
Truett-McConnell,Tennessee Tech,48,84,
Northern Arizona,Texas-Rio Grande Valley,79,91,
Coppin State,Towson,67,83,
Albany (NY),Presbyterian,68,65,
Penn,Lafayette,74,68,
Marist,Maryland-Eastern Shore,59,70,
Jarvis Christian,Nicholls State,52,97,
Wisconsin-Stout,North Dakota,61,92,
Paul Quinn,North Texas,46,76,
Colorado Christian,Northern Colorado,70,69,
Liberty,Northwestern,52,66,
FDU,Pitt,61,83,
Louisiana,SMU,76,72,
Prairie View,UTSA,75,82,
Montana State-Northern,Montana,51,63,
Alcorn State,UTEP,61,73,
Westcliff,Cal State Fullerton,57,78,
Wright State,UC-Riverside,65,70,
Mount St. Mary's,Pacific,69,65,
NC State,Kansas,74,80,
McNeese State,Baylor,60,89,
Arkansas,San Diego State,78,74,
Creighton,Arizona,79,81,
Little Rock,Indiana,68,87,
Auburn,Northwestern,43,42,
North Florida,Kentucky,56,96,
Pepperdine,UCLA,53,100,
Texas Tech,Ohio State,73,80,
Butler,Tennessee,45,71,
Syracuse,St. John's (NY),69,76,
Lipscomb,Chattanooga,72,66,
Stony Brook,Florida International,50,83,
Louisiana Tech,Alabama A&M,80,75,
Idaho State,Lindenwood,76,77,
Coastal Carolina,Missouri,51,89,
Menlo,Santa Clara,51,64,
Illinois State,Rhode Island,44,57,
Northern Illinois,LIU,86,61,
Northern Kentucky,Toledo,69,82,
Charlotte,Detroit Mercy,49,70,
American,Georgetown,74,70,
Eastern Michigan,Winthrop,87,101,
Chicago State,Cleveland State,63,77,
UT Arlington,East Carolina,65,79,
South Dakota,Sam Houston,49,80,
Western Kentucky,Tulane,71,65,
North Greenville,Wofford,59,70,
Columbia,Binghamton,79,81,
Wisconsin,Dayton,43,42,
Radford,William & Mary,51,62,
Cal State Northridge,Central Michigan,66,82,
Maine,Central Connecticut,66,58,
Morgan State,Loyola Marymount,80,81,
St. Thomas,Milwaukee,76,72,
The Citadel,New Orleans,72,65,
D'Youville,Niagara,53,91,
Valparaiso,Samford,49,79,
Purdue Fort Wayne,Southern Miss,58,70,
Jacksonville,Campbell,64,43,
Denver,IUPUI,86,64,
Brescia,Eastern Kentucky,84,122,
Wright State,Weber State,87,65,
Akron,Nevada,58,62,
BYU,USC,76,82,
Drexel,Indiana State,81,85,
Tennessee State,High Point,72,77,
Abilene Christian,UC-Riverside,65,76,
Mississippi Valley State,Air Force,51,64,
North Alabama,UCSB,71,89,
Kent State,College of Charleston,72,74,
Marquette,Georgia Tech,84,60,
Bradley,Liberty,44,55,
St. Francis (NY),Miami (FL),56,79,
Lynchburg,Queens (NC),72,107,
Texas A&M-Corpus Christi,Alcorn State,98,67,
UMass-Lowell,Brown,73,62,
Idaho,Cal Poly,71,82,
Evansville,UCF,56,76,
Louisville,Cincinnati,62,81,
Alabama State,Duquesne,57,75,
Appalachian State,ETSU,74,70,
Florida Gulf Coast,Kansas City,73,59,
LSU,Kansas State,59,61,
Merrimack,Providence,57,71,
Franciscan,Saint Francis (PA),53,120,
Old Westbury,St. Peter's,51,98,
Southern–New Orleans,Troy,61,118,
Jackson State,Michigan,68,78,
Utah,Mississippi State,49,52,
Paul Quinn,Saint Louis,53,96,
South Carolina State,Wake Forest,74,105,
Fresno State,Washington,57,62,
Cal State Bakersfield,UTEP,67,68,
Minnesota,UNLV,62,71,
Pacific Lutheran,Seattle,53,89,
UNC,Portland,89,81,
Wisconsin,Kansas,68,69,
Duke,Oregon State,54,51,
Alabama,Michigan State,81,70,
UConn,Oregon,83,59,
Tennessee,USC,73,66,
Purdue,West Virginia,80,68,
Princeton,Army,74,66,
The Citadel,Denver,71,74,
Saint Mary's,Vanderbilt,75,65,
California Baptist,Southern Illinois,61,64,
Florida State,Siena,63,80,
Manhattan,Northeastern,67,69,
Ole Miss,Stanford,72,68,
Iowa State,Villanova,81,79,
IUPUI,New Orleans,84,87,
Dayton,NC State,64,76,
Florida,Xavier,83,90,
Oklahoma,Nebraska,69,56,
Butler,BYU,75,70,
Memphis,Seton Hall,69,70,
Fresno State,Vanderbilt,59,67,
UNC,Iowa State,65,70,
Tennessee,Kansas,64,50,
Maryland-Eastern Shore,Virginia,45,72,
Portland State,Gonzaga,78,102,
Purdue,Gonzaga,84,66,
Duke,Xavier,71,64,
Jackson State,Indiana,51,90,
Lindenwood,Illinois,59,92,
UConn,Alabama,82,67,
Coppin State,Maryland,79,95,
Iowa,Clemson,74,71,
Cornell,Monmouth,81,63,
Eastern Illinois,Ohio,67,78,
USC Upstate,South Carolina,53,68,
St. Francis (NY),South Florida,60,75,
UT-Southern,Alabama A&M,79,90,
Tulsa,Oklahoma State,56,82,
Texas State,Southern Utah,78,65,
Stony Brook,Eastern Washington,52,81,
Idaho,Pacific,84,81,
Coastal Georgia,James Madison,54,100,
Southern,Loyola (MD),76,58,
Siena,Ole Miss,62,74,
Mary Baldwin,Longwood,60,112,
Ball State,Vermont,73,78,
Texas A&M,DePaul,82,66,
USC,Wisconsin,59,64,
Florida State,Stanford,60,70,
Cal State Bakersfield,Alcorn State,54,62,
Delaware,Colgate,72,68,
Dartmouth,Incarnate Word,64,69,
San Francisco,Davidson,80,89,
Tusculum,Furman,74,102,
Loyola (IL),Harvard,55,61,
Louisiana-Monroe,Omaha,56,63,
UNC Wilmington,Missouri State,68,54,
Utah Tech,North Dakota,52,67,
South Dakota State,Valparaiso,61,50,
Portland,Villanova,83,71,
BYU,Dayton,79,75,
Bellarmine,Loyola Marymount,59,80,
Denver,New Orleans,77,76,
Stephen F. Austin,Quinnipiac,44,58,
Louisiana Tech,Samford,79,76,
Fairfield,Towson,74,69,
IUPUI,The Citadel,53,74,
UNC Greensboro,Montana State,77,66,
Hartford,Penn,55,75,
Notre Dame,St. Bonaventure,51,63,
Texas A&M-Corpus Christi,UTEP,67,72,
Detroit Mercy,Washington State,54,96,
Oregon State,Florida,68,81,
Nebraska,Memphis,61,73,
San Jose State,North Texas,54,69,
Evansville,South Alabama,67,78,
Middle Tennessee,Hofstra,64,54,
Jacksonville State,New Mexico,61,79,
Nicholls State,UC-Irvine,56,83,
Lafayette,Penn State,57,70,
William & Mary,Pitt,64,80,
Oklahoma,Seton Hall,77,64,
Prairie View,Arkansas State,67,59,
California,TCU,48,59,
Sacramento State,Hawaii,61,74,
Grambling,UTSA,75,55,
Charleston Southern,Virginia Tech,64,69,
Robert Morris,Mercer,66,72,
New Mexico State,San Diego,90,77,
Northern Colorado,North Dakota State,80,70,
Butler,NC State,61,76,
West Virginia,Portland State,89,71,
Long Beach State,Oakland,78,70,
Washington,Saint Mary's,68,64,
Kent State,Houston,44,49,
Texas-Rio Grande Valley,Texas,54,91,
Oregon,Michigan State,70,74,
Iowa,TCU,66,79,
Florida Atlantic,Albany (NY),73,56,
Bethune-Cookman,Idaho State,68,66,
Boston University,Southeast Missouri State,52,63,
Morehead State,Marshall,59,83,
Little Rock,Miami (OH),67,80,
Kennesaw State,VCU,61,64,
Hampton,Wake Forest,70,97,
Alabama State,Eastern Illinois,67,58,
Howard,Austin Peay,56,55,
Louisiana,Drake,64,76,
Houston Christian,Missouri,69,105,
South Carolina State,Western Kentucky,64,90,
Tarleton State,Wichita State,71,83,
Utah Valley,Boise State,69,87,
St. Thomas,Utah,66,95,
Central Michigan,California Baptist,61,77,
Southern Utah,Sacramento State,91,87,
Army,Manhattan,71,72,
Loyola (MD),Louisiana-Monroe,65,64,
Mount St. Mary's,Navy,59,75,
Missouri State,Ball State,64,67,
UMBC,Georgetown,70,79,
Northeastern,Princeton,54,56,
Cleveland State,Western Michigan,71,49,
Rhodes,UAB,53,110,
Oglethorpe,Georgia Southern,73,101,
James Madison,South Dakota State,79,60,
Southern,Omaha,78,88,
Regent,VMI,58,108,
Southern Indiana,Bowling Green State,69,57,
Marist,Bucknell,60,54,
South Dakota,Coastal Carolina,59,66,
Hartford,Delaware,50,78,
Queens (NC),George Mason,65,72,
New Hampshire,George Washington,54,75,
UNC Greensboro,Hofstra,53,65,
Binghamton,La Salle,62,65,
Western Carolina,UNC Asheville,61,73,
Northern Illinois,Northern Iowa,76,83,
Oakland,San Jose State,67,80,
William Carey,Southeastern Louisiana,62,96,
Niagara,St. John's (NY),70,78,
Utah Tech,Cal State Fullerton,66,60,
Central Connecticut,Rutgers,49,83,
South Alabama,Towson,60,62,
Youngstown State,Western Illinois,88,64,
Merrimack,Bradley,41,83,
Clemson,California,67,59,
Presbyterian,Charlotte,42,69,
Mississippi Valley State,Colorado State,45,88,
North Alabama,Georgia Tech,61,80,
Gardner-Webb,North Carolina Central,53,58,
Colgate,Penn,69,81,
Columbia,Providence,64,78,
Delaware State,Liberty,53,80,
Stephen F. Austin,Middle Tennessee,63,75,
UC-Davis,Milwaukee,85,87,
UNC Wilmington,Vermont,68,66,
Northwestern State,Central Arkansas,74,66,
Murray State,Chattanooga,66,69,
Fairfield,Mercer,58,60,
UIC,Green Bay,78,64,
Quinnipiac,Montana State,70,53,
North Dakota State,New Mexico,55,76,
San Diego,Nicholls State,70,72,
Greensboro,North Carolina A&T,51,78,
East Carolina,Old Dominion,50,71,
American,Saint Francis (PA),66,55,
Bryant,Syracuse,73,72,
Benedictine,Grand Canyon,53,110,
Chicago State,Marquette,68,82,
SIU-Edwardsville,Kansas City,64,54,
Long Beach State,North Texas,47,68,
Robert Morris,Evansville,53,54,
Jacksonville State,Northern Colorado,82,86,
New Mexico State,UC-Irvine,68,85,
Life Pacific,UNLV,54,126,
UNC,Alabama,101,103,
Xavier,Gonzaga,84,88,
Duke,Purdue,56,75,
Michigan State,Portland,78,77,
Saint Louis,Auburn,60,65,
Bellarmine,UCLA,60,81,
Iowa State,UConn,53,71,
Iona,Santa Clara,76,86,
Texas State,Hawaii,65,72,
UC-San Diego,Eastern Michigan,66,63,
Eastern Washington,Florida International,79,90,
Colby-Sawyer,Holy Cross,61,95,
Stonehill,UMass-Lowell,59,73,
Tennessee Tech,Northern Kentucky,77,85,
Alabama State,Ohio,58,72,
Drexel,Temple,61,73,
Incarnate Word,Grambling,63,61,
Prairie View,Oklahoma State,53,78,
Alcorn State,Arizona State,54,76,
Villanova,Oregon,67,74,
Oregon State,Portland State,71,83,
Southeast Missouri State,UC-Davis,71,73,
Florida,West Virginia,55,84,
Stanford,Memphis,48,56,
Stephen F. Austin,UNC Greensboro,75,58,
Rhode Island,Boston College,49,53,
Valparaiso,James Madison,81,79,
Oakland,Missouri State,64,76,
Stetson,Campbell,85,87,
ETSU,Georgia,47,62,
Trinity Christian,Indiana State,68,105,
Montana State,Middle Tennessee,71,72,
Ole Miss,Oklahoma,55,59,
San Jose State,Ball State,67,65,
Northwestern State,Bethune-Cookman,69,66,
Maine,Brown,63,70,
Canisius,Buffalo,66,86,
Hartford,Colgate,58,92,
Radford,Elon,69,53,
Harvard,Fordham,60,68,
Belmont,Georgia State,68,66,
Bluffton,Purdue Fort Wayne,41,106,
Wagner,NJIT,62,57,
FDU,St. Peter's,63,77,
Montana,Air Force,56,59,
Bethel (TN),Arkansas State,65,90,
Yale,Colorado,62,65,
Wofford,LSU,75,78,
Cal State Fullerton,North Dakota,57,73,
Abilene Christian,Northern Arizona,92,82,
South Alabama,Robert Morris,84,70,
UT-Southern,Samford,84,82,
Lamar,SMU,50,75,
Mobile,Southern Miss,52,103,
Idaho State,Central Arkansas,77,81,
Quinnipiac,Hofstra,70,72,
Boston University,Milwaukee,46,67,
Delaware,Penn,73,86,
Miami (FL),UCF,66,64,
North Dakota State,Jacksonville State,71,81,
Towson,Mercer,70,60,
Rogers State,Oral Roberts,70,81,
Siena,Seton Hall,60,55,
Long Beach State,Vermont,78,58,
Evansville,Fairfield,56,63,
Monmouth,Lehigh,76,80,
Florida State,Nebraska,58,75,
Northern Colorado,New Mexico,74,98,
North Texas,UNC Wilmington,51,55,
Dartmouth,UTSA,78,77,
Texas Southern,Kansas,55,87,
Troy,Arkansas,61,74,
UC-Davis,Boston University,81,70,
Fisk,Alabama A&M,55,71,
Sam Houston,Nevada,60,78,
Grambling,Dartmouth,73,49,
Incarnate Word,UTSA,62,68,
Framingham State,Bryant,44,98,
Columbia,Marist,39,52,
Omaha,Mississippi State,54,74,
Western New England,Sacred Heart,59,100,
Champion Christian,Southern,52,112,
McNeese State,UT-Martin,83,86,
Arlington Baptist,Texas A&M-Commerce,46,101,
Louisiana-Monroe,Tulane,60,75,
Minnesota,Virginia Tech,57,67,
Southeast Missouri State,Milwaukee,68,84,
Mount Marty,South Dakota,58,97,
Howard Payne,UT Arlington,41,99,
Pitt,Northwestern,87,58,
Longwood,San Diego,68,71,
Cal Poly,Pacific,62,58,
Seattle,Washington,66,77,
Norfolk State,Houston,52,100,
Virginia,Michigan,70,68,
Baylor,Marquette,70,96,
Syracuse,Illinois,44,73,
Bellarmine,Kentucky,41,60,
Maryland,Louisville,79,54,
UC-Irvine,San Diego State,69,72,
Johnson (FL),Stetson,51,125,
Penn State,Clemson,94,101,
Jackson State,Miami (OH),78,95,
Toccoa Falls,Winthrop,52,99,
Weber State,Tarleton State,65,75,
Furman,Appalachian State,65,61,
Virginia-Lynchburg,Morgan State,59,123,
LIU,St. John's (NY),68,95,
St. Joseph's–Long Island,Stony Brook,48,89,
Albany (NY),American,62,88,
Queens (NC),Bowling Green State,72,66,
Brown,Central Connecticut,59,51,
Purdue Northwest,Central Michigan,67,74,
Old Dominion,College of Charleston,60,75,
Charlotte,Davidson,68,66,
UCSB,Duquesne,61,72,
South Carolina State,East Carolina,73,68,
Kentucky Christian,Morehead State,62,109,
UNC Asheville,North Carolina Central,66,79,
William & Mary,NC State,64,85,
Trinity Baptist,North Florida,49,90,
VMI,Presbyterian,57,72,
UMass,South Florida,73,67,
Loyola (LA),Louisiana,70,104,
Idaho State,Kansas City,75,65,
Champion Christian,Nicholls State,50,115,
Ottawa,Northern Arizona,51,82,
Ozark Christian College,Oral Roberts,68,116,
St. Ambrose,SIU-Edwardsville,54,89,
Montana,Southern Miss,54,64,
North Central (MN),St. Thomas,63,111,
Missouri,Wichita State,88,84,
Cal State Northridge,Boise State,46,55,
Westminster (UT),BYU,70,100,
Alcorn State,Grand Canyon,72,80,
Georgia Tech,Iowa,65,81,
Wake Forest,Wisconsin,78,75,
La Sierra,Cal State Bakersfield,49,90,
Purdue,Florida State,79,69,
UNC,Indiana,65,77,
McNeese State,Tennessee,40,76,
Ohio State,Duke,72,81,
Michigan State,Notre Dame,52,70,
North Dakota,Iowa State,44,63,
Eastern Michigan,Florida International,80,68,
Maine,Fordham,67,72,
Hampton,Georgia,54,73,
Akron,Marshall,57,68,
Merrimack,UMass-Lowell,51,77,
Cincinnati-Clermont,Ohio,44,113,
Vanderbilt,VCU,65,70,
Howard,Yale,40,86,
Jacksonville,UAB,61,80,
Western Kentucky,Austin Peay,75,74,
Southern Illinois,Evansville,80,53,
Missouri State,UIC,66,51,
Central Arkansas,Loyola (IL),70,85,
Prairie View,Rice,62,70,
SMU,Texas A&M,64,83,
UTEP,New Mexico State,70,95,
Montana State,Southern Utah,86,83,
Northwest University,Eastern Washington,,,
Santa Clara,Wyoming,89,85,
Navy,Lipscomb,77,82,
Merchant Marine Academy,Army,57,88,
Loyola (MD),Binghamton,84,70,
Kansas State,Butler,64,76,
Temple,La Salle,67,51,
Saint Francis (PA),Bucknell,65,89,
The Citadel,Charleston Southern,76,73,
NJIT,Cincinnati,60,86,
UNC Wilmington,Coastal Carolina,60,58,
Johnson State,Dartmouth,41,99,
Western Michigan,Dayton,47,67,
Lafayette,Drexel,56,64,
Mars Hill,ETSU,56,84,
South Alabama,Florida Atlantic,59,84,
Hofstra,George Mason,77,81,
Florida Gulf Coast,Georgia Southern,70,53,
FDU,Hartford,66,74,
Elon,High Point,70,84,
Harvard,Holy Cross,72,38,
Dallas Christian,Incarnate Word,64,112,
