School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Miami (FL),37,13.98,6.84,2925,2661,1485,991,2214,.448,285,852,.335,394,532,.741,364,1188,539,218,125,463,565,1058,2205,.480,278,755,.368,531,677,.784,384,1285,535,270,115,411,527
Miami (OH),32,-7.46,-2.43,2357,2385,1285,840,1819,.462,229,664,.345,476,655,.727,332,1086,418,247,90,426,557,830,1817,.457,250,736,.340,447,568,.787,287,1022,440,195,94,436,583
Michigan,34,12.43,8.69,2494,2367,1390,885,2081,.425,223,703,.317,374,536,.698,329,1200,400,180,89,338,579,898,1994,.450,261,744,.351,437,615,.711,300,1248,414,158,157,356,527
Michigan State,34,14.25,11.25,2411,2309,1380,834,1968,.424,245,757,.324,396,550,.720,305,1110,447,193,117,333,556,879,1944,.452,252,642,.393,401,528,.759,307,1213,497,160,102,370,557
Middle Tennessee,33,2.95,2.08,2313,2236,1330,789,1762,.448,213,600,.355,445,588,.757,303,1047,360,225,98,492,509,857,1892,.453,228,674,.338,371,543,.683,366,1109,356,249,159,439,579
Milwaukee,34,-4.69,-3.98,2659,2522,1385,893,2187,.408,280,912,.307,456,629,.725,438,1237,446,269,117,465,605,944,2062,.458,267,774,.345,504,681,.740,405,1330,472,236,186,515,610
Minnesota,31,-0.30,7.86,1949,2202,1250,834,1856,.449,208,580,.359,326,461,.707,336,1122,433,207,110,302,524,720,1664,.433,192,591,.325,317,512,.619,262,1017,454,143,124,401,482
Mississippi,33,5.73,7.30,2227,2279,1330,819,1873,.437,218,645,.338,423,568,.745,334,1127,459,234,93,398,506,816,1933,.422,203,671,.303,392,564,.695,396,1180,432,235,123,402,525
Mississippi State,34,11.43,6.69,2234,2073,1380,728,1849,.394,252,809,.311,365,510,.716,340,1138,424,214,102,486,582,816,1936,.421,178,669,.266,424,655,.647,440,1288,482,293,117,434,517
Mississippi Valley State,32,-18.28,-4.56,1953,2392,1290,826,1788,.462,253,706,.358,487,711,.685,341,1129,442,288,111,430,557,683,1681,.406,162,464,.349,425,639,.665,316,1027,321,243,65,518,573
